id,start,end,measurable,room,subject,home
618125,2021-03-15 20:58:12.285+00,2021-03-15 20:58:12.285+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618127,2021-03-15 20:58:20.417+00,2021-03-15 20:58:20.417+00,use,kitchen,plates,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618129,2021-03-15 20:58:20.417+00,2021-03-15 20:58:20.417+00,use,kitchen,plates,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618130,2021-03-15 20:58:42.827+00,2021-03-15 20:58:42.827+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618132,2021-03-15 20:58:42.827+00,2021-03-15 20:58:42.827+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618133,2021-03-15 21:01:56.421+00,2021-03-15 21:01:56.421+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618135,2021-03-15 21:01:56.421+00,2021-03-15 21:01:56.421+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618137,2021-03-15 21:04:17.976+00,2021-03-15 21:04:17.976+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618149,2021-03-15 21:04:17.976+00,2021-03-15 21:04:17.976+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618151,2021-03-15 21:20:16.472+00,2021-03-15 21:20:16.472+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618153,2021-03-15 21:20:16.472+00,2021-03-15 21:20:16.472+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618154,2021-03-15 21:21:30.268+00,2021-03-15 21:21:30.268+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618156,2021-03-15 21:21:30.268+00,2021-03-15 21:21:30.268+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
